ad_id,at_least_one
700,0.023770545626854614
701,0.11925351094129948
702,0.03937177361210557
703,0.02101050925979607
704,0.013951661888996353
705,0.21777620438633183
706,0.02947001423291154
707,0.22411617453069343
708,0.30803346427410155
709,0.08827169515137274
710,0.03834565782481819
711,0.03312183577513904
712,0.042102662561893336
713,0.2248602706751362
714,0.15582799983047466
715,0.21399231990844916
716,0.04656848686115324
717,0.18490346806936242
718,0.004873214046262092
719,0.20327267311303657
720,0.18487045630312637
721,0.2913079691442636
722,0.011759972725455745
723,0.15666601855671028
724,0.010930025485410458
725,0.06859787101742276
726,0.05146638338306243
727,0.10663266182132873
728,0.0971745010444916
729,0.2113662573126328
730,0.0814613976127166
731,0.028882972328328135
732,0.04197995870008209
733,0.025422894484158062
734,0.15048711171649337
735,0.2029967230764383
736,0.11421680501828824
737,0.14938300779988056
738,0.13292340113036882
739,0.1394139016740457
740,0.04299977704658285
741,-0.004344411670731033
742,-0.00649488521361774
743,0.3547796041366379
744,0.09032633165647239
745,0.08385024257602555
746,0.10669675041368867
747,0.04449330767789912
748,0.0755232685459871
749,0.044036545517139355
750,0.2204280661873305
751,0.41064901867815157
752,0.1750939619828165
753,0.05140061507379619
754,0.14665824317019668
755,0.04093860864381128
756,0.05918903606003834
757,0.16187005066564608
758,0.3496287064893407
759,0.0025747183663094447
760,0.02326505815105437
761,-0.005076472476273977
762,0.344550010973355
763,0.046940102508588516
764,0.03435763601088422
765,0.09057722847068403
766,-0.002305455168606585
767,0.40755603921096123
768,0.059373971592713626
769,0.049062441321709865
770,0.06142315482115559
771,0.2699830784533519
772,0.07277634039141506
773,0.019023998258159924
774,0.08548646764068787
775,0.35005434511062516
776,0.05813850734275842
777,0.1717482583535232
778,0.3261791896697967
779,0.19000164258924823
780,0.3322579780208511
781,0.36363918581774435
782,0.18412151676545552
783,0.15100560090084286
784,0.3491123136477948
785,0.17891462824160598
786,0.11618016907618776
787,0.050635483141625845
788,0.11911171846696898
789,0.027895790721642777
790,0.19118363511731862
791,0.015098523484786283
792,0.05773236982043264
793,0.07483598289189433
794,0.04649114976670386
795,0.2259268263663774
796,0.02526635917332104
797,0.029111141445910163
798,0.09968434232433725
799,0.014177052635260534
800,0.2145287850472784
801,0.019799881104554037
802,0.03566787445792974
803,0.017936086998461748
804,0.09585603931806697
805,0.021790468694128665
806,0.2611572472039574
807,0.061078530161995284
808,0.16298023628127406
809,0.10375087148228791
810,0.08307337133243921
811,0.018015912572674653
812,0.022548662273815398
813,0.06190869905704072
814,0.23577833436923967
815,0.04686026265467079
816,0.044763743952383306
817,0.15224971706372448
818,0.0746523779339074
819,0.22754523584143316
820,0.04872615350190036
821,0.2056696289195199
822,0.16171747774657344
823,0.02830378364271495
824,0.022549628778066877
825,0.06228711925066919
826,0.09422238454472982
827,0.04509386272025269
828,0.03553568905445155
829,0.23600537427727333
830,0.03719784711700487
831,0.34913488010098104
832,0.09430014650797473
833,0.13599183849857518
834,0.07541131417501694
835,0.20714607268109456
836,0.09581285139473812
837,0.17606849756518575
838,0.053149664953814096
839,0.03397474984779428
840,0.017843950220997884
841,0.047458055009853145
842,0.18955729973880403
